/*Area 1*/
ENGL A100,Freshman Composition,0,3
ENGL A101,Critical Reasoning: Fiction,0,4
ENGL A102,Critical Reasoning: Nonfiction,0,3
ENGL A109,Critical Reasoning and Writing for Science and Technology,0,3
PHIL A150,Critical Reasoning & Writing,0,3
CMST A100,Interpersonal Communication,0,3
CMST A110,Public Speaking,0,3
/*Area 3*/
ARCH A296,History of Architecture 2,3
ART A100,Survey of Western Art from Prehistory Through Gothic,3
ART A101,Survey of Western Art from Renaissance to Modern,3
ART A102,Survey of Modern and Contemporary Art History,3
ART A103,Survey of Asian Art,3
ART A107,Introduction To Art,3
ART A108,Women in Art,3
ART A109,Ancient Greek Art and Architecture,3
ART A114,Art of the Ancient Americas,3
ART A115,Art of Africa, Oceania, and Indigenous North America,3
DANC A200,Appreciation Of Dance,3
DANC A230,World Dance and Culture,3
FILM A100,History and Appreciation of the Cinema,3
FILM A109,Science Fiction Film,3
MUS A100,History and Appreciation of Western Classical Music,3
MUS A105,Music from Bach Up to Rock,3
MUS A115,Fundamentals of Music,3
MUS A139,History of Rock Music,3
MUS A143,History of Jazz,3
MUS A180,Theory 1,3
PHOT A110,Photography with a Smartphone: Theory and Practice,3
PHOT A123,Introduction to Digital Photography,3
PHOT A130,History and Appreciation of Photography,3
PHOT A230,Photography Since 1945,3
THEA A100,Introduction to Theatre,3
THEA A101,Introduction to History and Literature of the Theatre,3
THEA A105,Drama and Acting,3
CHIN A185,Elementary Chinese 2,5
CMST A155,Intercultural Communications,3
CMST A180,Introduction to Mass Communications,3
ENGL A140,Introduction to Literature,3
ENGL A141,The Bible As Literature,3
ENGL A143,Children's Literature,3
ENGL A147,Introduction to Science Fiction,3
ENGL A148,Film As Literature,3
ENGL A150,American Literature Before the 20th Century,3
ENGL A151,American Literature in the 20th Century,3
ENGL A152,Race, Culture, and Identity in Literature,3
ENGL A156,California Literature,3
ENGL A160,World Literature Through Renaissance,3
ENGL A161,World Literature Since Renaissance,3
ENGL A168,Popular Fiction,3
ENGL A170,Contemporary Literature,3
ENGL A173,Women Writers,3
ENGL A176,World Mythology,3
ENGL A179,Gender and Sexuality in Literature and Film,3
ENGL A181,Shakespeare,3
ENGL A187,Introduction to Literary Theory,3
ENGL A270,Survey of British Literature Before 1800,3
ENGL A275,Survey of British Literature After 1800,3
ETHS A150,Ethnic Groups in the United States: Their Histories,3
FREN A185,Elementary French 2,5
FREN A280,Intermediate French 1,4
FREN A285,Intermediate French 2,4
GNDR A187,Women in History,3
GRMN A185,Elementary German 2,5
GRMN A280,Intermediate German 1,4
GRMN A285,Intermediate German 2,4
HIST A101,Afro-American History,3
HIST A150,Ethnic Groups of the United States: Their Histories,3
HIST A151,History of the Middle East to 1500,3
HIST A152,History of the Middle East Since 1500,3
HIST A161,World History 1,3
HIST A162,World History 2,3
HIST A170,History of the United States to 1876,3
HIST A175,History of the United States Since 1876,3
HIST A176,Women In U.S. History,3
HIST A180,Western Civilization 1,3
HIST A185,Western Civilization 2,3
HIST A187,Women in History,3
HIST A195,History of England and Greater Britain,3
HUM A100,Introduction to the Humanities,3
ITAL A185,Elementary Italian 2,5
ITAL A280,Intermediate Italian 1,5
ITAL A285,Intermediate Italian 2,5
JAPN A185,Elementary Japanese 2,5
JAPN A280,Intermediate Japanese 1,5
JAPN A285,Intermediate Japanese 2,5
PHIL A100,Introduction to Philosophy,3
PHIL A115,Philosophy of Religion,3
PHIL A118,Aesthetics/Philosophy of Art,3
PHIL A120,Ethics,3
